age, workclass, education, marital-status, occupation, relationship, race, sex, hours-per-week, country, salary
53, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, >50K
64, State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female, 38, United-States, <=50K
56, Private, 7th-8th, Widowed, Transport-moving, Not-in-family, White, Male, 20, United-States, <=50K
42, Private, Some-college, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male, 40, United-States, >50K
26, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Female, 40, United-States, >50K
31, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female, 40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female, 40, United-States, <=50K
58, Private, Some-college, Widowed, Craft-repair, Not-in-family, White, Male, 40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, <=50K
58, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male, 47, United-States, <=50K
62, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, 60, United-States, >50K
65, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 60, United-States, >50K
40, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, 40, United-States, <=50K
45, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, 40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, 55, United-States, <=50K
23, ?, Some-college, Never-married, ?, Own-child, Asian-Pac-Islander, Male, 20, China, <=50K
63, Federal-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, United-States, >50K
37, Private, Some-college, Widowed, Craft-repair, Unmarried, White, Male, 40, United-States, <=50K
25, ?, Bachelors, Married-spouse-absent, ?, Not-in-family, White, Male, 40, Canada, <=50K
56, Private, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male, 50, United-States, <=50K
32, Private, Some-college, Divorced, Sales, Not-in-family, White, Male, 50, United-States, <=50K
53, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female, 40, Philippines, >50K
32, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male, 40, United-States, <=50K
23, Self-emp-not-inc, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, 60, United-States, >50K
35, Private, 11th, Separated, Transport-moving, Not-in-family, White, Male, 90, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, 65, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, 20, United-States, <=50K
41, Private, 11th, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male, 40, Guatemala, <=50K
22, Private, 10th, Never-married, Transport-moving, Own-child, White, Male, 25, United-States, <=50K
23, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female, 40, United-States, <=50K
36, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 40, Taiwan, >50K
27, ?, Some-college, Divorced, ?, Not-in-family, White, Female, 25, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, Canada, <=50K
23, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male, 25, Mexico, <=50K
21, Private, 11th, Never-married, Other-service, Unmarried, Black, Female, 40, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 40, United-States, >50K
36, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male, 60, United-States, <=50K
18, Private, 9th, Never-married, Handlers-cleaners, Own-child, White, Male, 40, United-States, <=50K
62, Self-emp-not-inc, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, >50K
25, Federal-gov, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Male, 40, United-States, <=50K
34, Private, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Female, 45, United-States, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female, 50, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male, 40, England, <=50K
22, ?, Some-college, Never-married, ?, Own-child, White, Female, 30, United-States, <=50K
28, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male, 30, United-States, <=50K
22, ?, Some-college, Separated, ?, Own-child, White, Male, 25, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, 40, United-States, >50K
67, ?, 11th, Married-civ-spouse, ?, Husband, White, Male, 3, United-States, <=50K
20, ?, 10th, Never-married, ?, Own-child, White, Male, 40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 70, United-States, <=50K
26, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, 60, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, 44, United-States, >50K
28, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male, 40, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male, 40, United-States, <=50K
47, Private, Some-college, Separated, Other-service, Not-in-family, Black, Female, 35, United-States, <=50K
33, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male, 45, United-States, <=50K
34, Self-emp-inc, Masters, Separated, Prof-specialty, Not-in-family, White, Female, 40, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, 40, United-States, <=50K
37, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 50, Mexico, <=50K
36, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, 40, United-States, <=50K
61, Local-gov, Bachelors, Separated, Prof-specialty, Not-in-family, White, Male, 30, ?, <=50K
74, ?, 9th, Married-civ-spouse, ?, Husband, White, Male, 40, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, Poland, <=50K
55, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Male, 40, England, <=50K
20, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female, 40, United-States, <=50K
43, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female, 44, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, England, >50K
25, Private, Some-college, Separated, Adm-clerical, Unmarried, White, Female, 40, United-States, <=50K
42, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male, 40, United-States, <=50K
23, ?, Some-college, Never-married, ?, Not-in-family, White, Female, 35, United-States, <=50K
17, Private, 11th, Never-married, Craft-repair, Own-child, White, Male, 10, United-States, <=50K
39, ?, HS-grad, Never-married, ?, Not-in-family, White, Male, 40, United-States, <=50K
63, Private, 7th-8th, Married-spouse-absent, Other-service, Unmarried, Amer-Indian-Eskimo, Female, 40, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female, 30, United-States, <=50K
56, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 50, United-States, >50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 45, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male, 50, United-States, <=50K
27, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male, 45, United-States, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, 40, United-States, <=50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, 65, Canada, >50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, 55, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, 45, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female, 40, United-States, <=50K
25, Private, 12th, Never-married, Machine-op-inspct, Not-in-family, White, Male, 40, United-States, <=50K
53, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, 54, United-States, >50K
21, ?, Some-college, Never-married, ?, Own-child, White, Female, 40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Female, 35, United-States, <=50K
34, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male, 30, United-States, <=50K
32, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female, 40, United-States, <=50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male, 40, United-States, <=50K
70, Private, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male, 25, United-States, <=50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
54, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 50, United-States, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
42, Private, 11th, Married-civ-spouse, Other-service, Wife, White, Female, 40, United-States, <=50K
45, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male, 40, United-States, <=50K
27, Private, Some-college, Never-married, Other-service, Own-child, White, Male, 40, United-States, <=50K
51, Private, 10th, Married-civ-spouse, Other-service, Husband, White, Male, 40, Mexico, <=50K
36, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, 65, United-States, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male, 40, Philippines, <=50K
50, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male, 40, United-States, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male, 50, United-States, >50K
39, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, >50K
55, Self-emp-not-inc, 9th, Married-civ-spouse, Farming-fishing, Husband, White, Male, 25, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, 40, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male, 40, United-States, <=50K
32, Self-emp-not-inc, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
66, ?, Bachelors, Married-civ-spouse, ?, Husband, White, Male, 40, United-States, >50K
68, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female, 30, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, 60, United-States, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Male, 40, United-States, <=50K
61, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 44, United-States, >50K
55, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, 35, Greece, >50K
20, ?, Some-college, Never-married, ?, Own-child, White, Male, 36, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Own-child, White, Female, 40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, 84, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 52, United-States, >50K
35, Private, Prof-school, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 35, China, <=50K
42, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, United-States, >50K
26, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male, 40, United-States, <=50K
44, Local-gov, Some-college, Never-married, Other-service, Unmarried, Black, Female, 40, United-States, <=50K
31, State-gov, Masters, Never-married, Adm-clerical, Not-in-family, White, Male, 25, United-States, <=50K
39, State-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Male, 40, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, White, Female, 24, United-States, <=50K
32, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, 40, United-States, <=50K
61, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 20, Trinadad&Tobago, <=50K
54, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, 40, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Craft-repair, Other-relative, White, Male, 40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male, 3, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male, 40, United-States, <=50K
35, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 40, Mexico, <=50K
29, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female, 25, United-States, <=50K
29, Local-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Black, Female, 40, United-States, <=50K
25, Private, 10th, Separated, Other-service, Own-child, White, Female, 25, United-States, <=50K
46, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female, 40, United-States, <=50K
35, Private, Assoc-voc, Never-married, Other-service, Unmarried, White, Female, 30, United-States, <=50K
20, Private, 10th, Never-married, Sales, Not-in-family, Other, Male, 40, United-States, <=50K
24, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, 40, United-States, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, 37, United-States, <=50K
37, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female, 40, United-States, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, 40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
29, Local-gov, Some-college, Separated, Adm-clerical, Unmarried, White, Female, 38, United-States, <=50K
31, Self-emp-not-inc, Assoc-voc, Divorced, Craft-repair, Own-child, White, Male, 20, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, >50K
26, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male, 40, United-States, <=50K
64, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
46, Private, Assoc-voc, Divorced, Protective-serv, Not-in-family, Black, Male, 40, United-States, <=50K
69, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, 8, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, 44, United-States, >50K
48, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female, 55, United-States, <=50K
46, Private, HS-grad, Divorced, Sales, Other-relative, White, Female, 40, United-States, <=50K
42, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male, 40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Wife, Black, Female, 54, Dominican-Republic, >50K
50, Federal-gov, Masters, Married-civ-spouse, Tech-support, Husband, White, Male, 40, United-States, >50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, 40, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Tech-support, Other-relative, White, Female, 40, Canada, >50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 60, United-States, >50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
23, Private, 11th, Never-married, Transport-moving, Own-child, White, Female, 38, United-States, <=50K
21, ?, Assoc-voc, Never-married, ?, Not-in-family, White, Male, 40, United-States, <=50K
32, Private, 10th, Separated, Craft-repair, Not-in-family, White, Male, 40, United-States, <=50K
69, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 30, United-States, <=50K
55, Private, HS-grad, Separated, Handlers-cleaners, Unmarried, White, Male, 40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 50, United-States, <=50K
44, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 52, United-States, >50K
18, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Male, 40, United-States, <=50K
74, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 10, United-States, <=50K
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
75, ?, 9th, Married-civ-spouse, ?, Husband, Black, Male, 5, United-States, <=50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, 40, United-States, <=50K
52, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 40, United-States, <=50K
54, Private, Some-college, Divorced, Sales, Unmarried, White, Female, 48, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male, 48, United-States, <=50K
76, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male, 8, United-States, <=50K
26, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female, 40, United-States, <=50K
18, Private, 11th, Never-married, Craft-repair, Own-child, White, Male, 20, United-States, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, 50, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male, 40, United-States, >50K
19, ?, Some-college, Never-married, ?, Own-child, White, Female, 25, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, 60, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 40, United-States, >50K
20, Private, HS-grad, Never-married, Protective-serv, Own-child, Black, Male, 40, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, 40, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male, 60, United-States, <=50K
60, Private, 5th-6th, Divorced, Machine-op-inspct, Not-in-family, White, Female, 40, Puerto-Rico, <=50K
52, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female, 50, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Transport-moving, Husband, White, Male, 40, United-States, <=50K
57, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male, 55, United-States, >50K
19, ?, Some-college, Never-married, ?, Own-child, White, Male, 40, United-States, <=50K
59, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male, 25, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, 45, United-States, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male, 50, United-States, >50K
42, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Black, Male, 35, United-States, <=50K
70, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, 6, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, 40, ?, >50K
47, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, 40, ?, <=50K
29, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, 45, United-States, >50K
27, Private, 11th, Never-married, Handlers-cleaners, Other-relative, Black, Male, 40, United-States, <=50K
25, Private, 12th, Married-civ-spouse, Other-service, Wife, White, Female, 40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 60, United-States, >50K
28, Private, HS-grad, Never-married, Other-service, Own-child, Black, Female, 40, ?, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, 60, United-States, >50K
54, ?, Masters, Never-married, ?, Not-in-family, White, Female, 40, United-States, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
52, Private, Assoc-voc, Separated, Other-service, Unmarried, White, Female, 35, United-States, <=50K
65, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, United-States, <=50K
43, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male, 40, United-States, <=50K
41, Local-gov, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female, 40, United-States, <=50K
34, Private, Bachelors, Never-married, Exec-managerial, Other-relative, White, Female, 45, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 30, United-States, <=50K
49, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Male, 56, United-States, >50K
21, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female, 25, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female, 25, United-States, <=50K
18, Local-gov, 12th, Never-married, Protective-serv, Own-child, White, Male, 40, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male, 40, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 50, United-States, <=50K
38, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, 40, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male, 40, United-States, <=50K
34, Private, Some-college, Never-married, Sales, Not-in-family, White, Male, 65, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 50, United-States, >50K
27, Federal-gov, HS-grad, Separated, Exec-managerial, Unmarried, Black, Female, 40, United-States, <=50K
63, Private, Assoc-voc, Widowed, Adm-clerical, Unmarried, White, Female, 8, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 40, United-States, >50K
25, Private, Some-college, Married-spouse-absent, Sales, Not-in-family, White, Male, 50, United-States, <=50K
54, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Male, 40, United-States, <=50K
19, ?, Some-college, Never-married, ?, Own-child, White, Female, 35, United-States, <=50K
35, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female, 50, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, 70, United-States, >50K
26, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female, 35, United-States, <=50K
59, Local-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female, 40, United-States, <=50K
43, Private, Doctorate, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 40, ?, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Female, 40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, 40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 40, United-States, <=50K
27, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Other, Female, 40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, <=50K
25, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male, 60, United-States, <=50K
55, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 50, United-States, >50K
22, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, 21, United-States, <=50K
58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 40, India, <=50K
43, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female, 15, United-States, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female, 20, United-States, >50K
40, Private, 9th, Never-married, Machine-op-inspct, Unmarried, Black, Female, 40, Haiti, <=50K
46, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, 45, United-States, <=50K
54, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female, 20, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male, 30, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, 40, United-States, <=50K
53, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, 40, United-States, <=50K
24, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male, 13, United-States, <=50K
29, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male, 65, United-States, <=50K
56, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, United-States, >50K
54, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, 40, United-States, >50K
21, ?, Some-college, Never-married, ?, Not-in-family, White, Female, 30, United-States, <=50K
34, Private, 9th, Separated, Craft-repair, Not-in-family, White, Male, 40, ?, <=50K
56, Private, 11th, Divorced, Machine-op-inspct, Not-in-family, White, Female, 40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, 50, United-States, >50K
19, Private, 10th, Never-married, Sales, Unmarried, Black, Female, 40, United-States, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, 65, United-States, >50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, 52, United-States, <=50K
67, ?, Masters, Married-civ-spouse, ?, Husband, Black, Male, 40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, 25, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, 60, United-States, >50K
40, Private, 1st-4th, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female, 40, Dominican-Republic, <=50K
28, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male, 50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, United-States, >50K
57, Private, 1st-4th, Divorced, Craft-repair, Unmarried, White, Male, 40, Portugal, <=50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, 40, United-States, <=50K
26, ?, 11th, Never-married, ?, Not-in-family, White, Female, 35, Germany, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 45, ?, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, 45, United-States, >50K
50, Private, HS-grad, Divorced, Adm-clerical, Other-relative, Asian-Pac-Islander, Female, 40, Philippines, <=50K
33, Private, Some-college, Married-spouse-absent, Craft-repair, Not-in-family, White, Male, 40, ?, <=50K
77, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male, 20, United-States, <=50K
